decile,expected_monthly_return
1,0.02061025218114179
2,0.01641032639181123
3,0.01505162348196862
4,0.014158707393621447
5,0.014136684597116327
6,0.013945459221365553
7,0.014416496523472221
8,0.015349156354441245
9,0.015523224060951938
10,0.02119590980178863
