entry_month,PERMNO,weight
2021-01-01,11891,2.6408021126549853e-18
2021-01-01,12060,4.04820566433491e-18
2021-01-01,12369,0.0
2021-01-01,12431,0.09999999999999999
2021-01-01,12622,0.0
2021-01-01,13035,0.06807566851322422
2021-01-01,13103,1.2894189984645892e-19
2021-01-01,13511,0.09999999999999998
2021-01-01,13760,7.932869271306241e-19
2021-01-01,14776,0.0
2021-01-01,15826,4.44332024532101e-18
2021-01-01,16309,0.0
2021-01-01,16655,2.1805994518098975e-18
2021-01-01,16692,0.0
2021-01-01,18224,5.795448686883935e-18
2021-01-01,18312,0.1
2021-01-01,19350,0.02314871434297968
2021-01-01,19583,0.0
2021-01-01,24643,0.0
2021-01-01,26403,0.1
2021-01-01,60628,3.222827019518171e-18
2021-01-01,61241,4.7267638374632555e-18
2021-01-01,75186,1.083544024673285e-17
2021-01-01,75912,0.08894332152239112
2021-01-01,76230,4.9602312984472035e-18
2021-01-01,76712,0.0219299899921534
2021-01-01,77178,0.039459347712532775
2021-01-01,80191,0.0
2021-01-01,81055,0.0
2021-01-01,81655,2.308314723134577e-18
2021-01-01,81774,1.1622753706394075e-18
2021-01-01,85663,5.5857672005424e-19
2021-01-01,85792,0.06305917316036233
2021-01-01,85913,0.0
2021-01-01,87447,0.1
2021-01-01,88182,6.595987476260298e-19
2021-01-01,88661,2.081883719372917e-20
2021-01-01,88860,2.0056932605692388e-18
2021-01-01,89138,0.1
2021-01-01,90386,0.0
2021-01-01,90455,8.06557240229362e-18
2021-01-01,90720,4.8674072113281e-19
2021-01-01,90808,0.0
2021-01-01,91041,3.366730928598235e-18
2021-01-01,91611,0.06714003788808637
2021-01-01,93246,0.028243746868269966
2021-01-01,93436,3.1568001661256927e-18
2021-02-01,11891,0.0
2021-02-01,12060,3.025251589730683e-18
2021-02-01,12369,2.3973267631931255e-18
2021-02-01,12476,0.0
2021-02-01,13103,0.0
2021-02-01,13760,0.0
2021-02-01,13963,0.09999999999999999
2021-02-01,14702,0.0
2021-02-01,14776,0.0
2021-02-01,15826,0.0
2021-02-01,16309,5.3956593494632375e-18
2021-02-01,16655,2.3427940120796886e-18
2021-02-01,18224,0.0
2021-02-01,18312,0.1
2021-02-01,19350,0.1
2021-02-01,19583,0.0
2021-02-01,24643,0.0
2021-02-01,25232,8.607816303613907e-19
2021-02-01,25785,0.0
2021-02-01,35044,0.0
2021-02-01,53613,0.0
2021-02-01,75186,0.028228053424606468
2021-02-01,75912,0.1
2021-02-01,76712,0.05022088674721727
2021-02-01,77129,7.3231112162862295e-19
2021-02-01,80100,0.0
2021-02-01,80191,1.9090543613946885e-17
2021-02-01,81055,0.0
2021-02-01,81655,0.0
2021-02-01,81774,0.0
2021-02-01,82598,0.06150434925054361
2021-02-01,85663,2.763424638840394e-19
2021-02-01,85792,0.08609343957396133
2021-02-01,87137,0.0
2021-02-01,88182,5.333143028720006e-19
2021-02-01,88661,2.649019514622499e-18
2021-02-01,88860,2.836390419763253e-18
2021-02-01,89031,0.020449378395736652
2021-02-01,89138,0.1
2021-02-01,89641,0.1
2021-02-01,90386,0.0
2021-02-01,90720,0.0
2021-02-01,90808,1.3352035187322657e-18
2021-02-01,91611,0.0869074260464148
2021-02-01,91926,8.15687447150243e-20
2021-02-01,93246,0.06659646656151991
