entry_month,PERMNO,weight
2021-01-01,11891,7.153354358974488e-18
2021-01-01,12060,0.0
2021-01-01,12369,0.0
2021-01-01,12431,0.11916681531222915
2021-01-01,12622,5.2983158266123424e-18
2021-01-01,13035,0.04700156374308301
2021-01-01,13103,2.256282413680713e-18
2021-01-01,13511,0.09020538449488734
2021-01-01,13760,1.5493074089465307e-17
2021-01-01,14776,9.159966185755833e-19
2021-01-01,15826,9.590875964548843e-19
2021-01-01,19350,0.0
2021-01-01,19583,0.0
2021-01-01,24643,3.218639391860548e-18
2021-01-01,26403,0.18960000397823973
2021-01-01,60628,0.0
2021-01-01,61241,0.0
2021-01-01,75186,0.0
2021-01-01,75912,0.047842710535752474
2021-01-01,76230,0.0
2021-01-01,76712,0.03711974756542534
2021-01-01,77178,0.0
2021-01-01,80191,0.0
2021-01-01,81055,3.248208428348803e-19
2021-01-01,81655,0.0
2021-01-01,81774,8.538283335318861e-18
2021-01-01,85663,8.100472309700665e-18
2021-01-01,85792,0.0
2021-01-01,85913,0.0
2021-01-01,87447,0.3334959316563938
2021-01-01,88182,7.403857334734495e-18
2021-01-01,88661,1.8969155007844837e-18
2021-01-01,88860,0.0
2021-01-01,89138,0.13022519399448473
2021-01-01,90386,3.020784727269521e-18
2021-01-01,90455,0.0
2021-01-01,90720,8.945434627364155e-18
2021-01-01,90808,0.0
2021-01-01,91041,0.0
2021-01-01,91611,0.005342648719504541
2021-01-01,93246,0.0
2021-01-01,93436,0.0
2021-02-01,11891,3.1835203926960844e-18
2021-02-01,12060,0.0
2021-02-01,12369,3.7103484161086575e-18
2021-02-01,12476,3.0001906991747318e-18
2021-02-01,13103,0.0
2021-02-01,13760,8.14051601870586e-19
2021-02-01,13963,0.16476862678469253
2021-02-01,14702,0.0
2021-02-01,14776,0.0
2021-02-01,15826,0.0
2021-02-01,19350,0.09788526128000835
2021-02-01,19583,0.0
2021-02-01,24643,0.0
2021-02-01,25232,0.0
2021-02-01,25785,0.049255113283976575
2021-02-01,35044,0.0
2021-02-01,53613,0.0
2021-02-01,75186,0.010753830137074297
2021-02-01,75912,0.12247621897695482
2021-02-01,76712,0.0896901814401096
2021-02-01,77129,0.030140635056251416
2021-02-01,80100,0.0
2021-02-01,80191,0.0
2021-02-01,81055,1.3353209715668028e-18
2021-02-01,81655,0.0
2021-02-01,81774,0.0
2021-02-01,82598,0.04692050653191481
2021-02-01,85663,1.5185712557493503e-19
2021-02-01,85792,0.03066888491254071
2021-02-01,87137,6.70243936272527e-18
2021-02-01,88182,0.0
2021-02-01,88661,2.182698025955925e-18
2021-02-01,88860,0.0
2021-02-01,89031,0.028766252781034986
2021-02-01,89138,0.1751563286508676
2021-02-01,89641,0.04700219338050146
2021-02-01,90386,1.3086394337282923e-18
2021-02-01,90720,0.0
2021-02-01,90808,1.445594073387472e-18
2021-02-01,91611,0.03174550546602669
2021-02-01,91926,0.0
2021-02-01,93246,0.06619825966554736
2021-02-01,93436,0.008572201652498735
2021-03-01,11891,0.0
2021-03-01,12060,0.009575211627627384
2021-03-01,12369,2.253107639696439e-18
2021-03-01,12476,2.9205696021328276e-18
2021-03-01,13103,3.198396408832238e-18
2021-03-01,13641,7.724940478959219e-19
2021-03-01,13760,0.0
2021-03-01,14702,0.0
2021-03-01,14889,0.0
2021-03-01,19350,0.12802110708904876
2021-03-01,19583,5.10930273783794e-18
2021-03-01,24643,4.230082538587976e-18
2021-03-01,25232,1.832979297858306e-18
2021-03-01,25785,0.08589175179624045
2021-03-01,34746,3.3203691532368573e-19
2021-03-01,34833,6.776263578034403e-21
2021-03-01,35044,9.537590986083422e-19
2021-03-01,42906,0.0
2021-03-01,48486,0.0
2021-03-01,53613,0.0
2021-03-01,64995,2.0464316005663896e-18
2021-03-01,66384,5.840292171318401e-18
2021-03-01,75034,3.1594328932585403e-19
2021-03-01,75154,4.228388472693467e-18
2021-03-01,75186,0.05216716790483571
2021-03-01,76795,0.058037001622886435
2021-03-01,79686,0.04633976976697143
2021-03-01,80100,0.0
2021-03-01,80191,0.02016945325191916
2021-03-01,80204,0.10194709345861265
2021-03-01,81055,4.374078139621207e-18
2021-03-01,81774,4.0657581468206416e-20
2021-03-01,85072,0.02709218501101696
2021-03-01,85663,0.0
2021-03-01,85792,0.06495618603016069
2021-03-01,87137,6.240938755369685e-18
2021-03-01,88182,6.301925127571995e-19
2021-03-01,88661,4.580754178751256e-18
2021-03-01,88860,0.0
2021-03-01,89031,0.05433200211440681
2021-03-01,89138,0.23470647286242696
2021-03-01,90199,0.0
2021-03-01,90386,1.8973538018496328e-18
2021-03-01,90808,0.0161987703373016
2021-03-01,93246,0.10056582712654479
2021-04-01,11891,5.421010862427522e-20
2021-04-01,12060,0.018439869825853616
2021-04-01,12369,1.5910666881224778e-17
2021-04-01,12476,0.0
2021-04-01,12872,2.9002408113987244e-18
2021-04-01,13641,0.0
2021-04-01,13963,0.22389042164658202
2021-04-01,14277,1.5415999640028266e-18
2021-04-01,14702,0.0
2021-04-01,14889,3.0696474008495844e-18
2021-04-01,15707,0.043936227890633554
2021-04-01,19583,1.7753810574450135e-18
2021-04-01,23819,0.0
2021-04-01,24643,2.2073678605447067e-18
2021-04-01,25232,0.0
2021-04-01,25785,0.09155582081225017
2021-04-01,34746,1.951563910473908e-18
2021-04-01,34817,0.025167501346042523
2021-04-01,34833,5.55653613398821e-19
2021-04-01,35044,4.3613726454123924e-18
2021-04-01,39490,8.944667923005412e-19
2021-04-01,42906,0.0
2021-04-01,46886,0.039453240348843406
2021-04-01,48486,2.439454888092385e-19
2021-04-01,53613,1.8201679245310846e-18
2021-04-01,66384,0.0
2021-04-01,70519,0.0
2021-04-01,75154,0.0
2021-04-01,75186,0.05972550463069964
2021-04-01,75825,0.0
2021-04-01,76795,0.0864347863831774
2021-04-01,80100,0.0
2021-04-01,81055,1.24386788304294e-18
2021-04-01,81774,2.5394047758683924e-18
2021-04-01,82775,0.09541493689878075
2021-04-01,83011,0.027133259561003004
2021-04-01,84262,1.3552527156068805e-19
2021-04-01,85072,0.020246592276007898
2021-04-01,85663,2.927345865710862e-18
2021-04-01,87137,2.710505431213761e-19
2021-04-01,88182,0.0
2021-04-01,88661,7.081195439045951e-19
2021-04-01,89138,0.261193244604771
2021-04-01,89533,6.522153693858113e-19
2021-04-01,90386,3.945479468310531e-18
2021-04-01,90808,0.007408593775354942
2021-05-01,11850,0.2051759912687934
2021-05-01,11891,0.0
2021-05-01,12476,2.2333082445543696e-18
2021-05-01,12872,0.0
2021-05-01,13356,3.2052785515286793e-18
2021-05-01,13641,0.0
2021-05-01,13760,0.0
2021-05-01,13928,2.8412661424461437e-18
2021-05-01,13963,0.13645566465628506
2021-05-01,13964,0.0
2021-05-01,14277,4.143896936204851e-18
2021-05-01,14702,0.0
2021-05-01,15707,0.0
2021-05-01,19583,8.149515743770437e-19
2021-05-01,23579,2.6925059810846072e-18
2021-05-01,24643,3.734991780917837e-18
2021-05-01,25232,0.0
2021-05-01,27828,0.0
2021-05-01,30681,0.24599107225818456
2021-05-01,34833,2.9767914140068318e-18
2021-05-01,38703,8.661017764793628e-18
2021-05-01,39490,0.0
2021-05-01,48486,2.948733447629033e-19
2021-05-01,66384,1.2412209050827704e-18
2021-05-01,75154,5.303485040995988e-19
2021-05-01,75825,1.476166668827432e-18
2021-05-01,77129,0.0
2021-05-01,79782,0.059057689914649165
2021-05-01,80100,1.5472115572783864e-18
2021-05-01,80191,0.0
2021-05-01,81055,3.529480412090263e-18
2021-05-01,81774,0.0
2021-05-01,83011,0.02294607139205745
2021-05-01,85059,0.0
2021-05-01,85072,4.750160768202116e-18
2021-05-01,85269,2.012867920031438e-18
2021-05-01,85663,8.179161896924338e-19
2021-05-01,86868,0.0
2021-05-01,87137,0.0
2021-05-01,88661,3.3642031082572674e-18
2021-05-01,89641,0.05785252381355176
2021-05-01,90386,2.8773709218228583e-18
2021-05-01,90808,1.2691518165184809e-17
2021-05-01,90829,0.0
2021-05-01,92108,0.0835566755493268
2021-05-01,93132,0.17284676360476417
2021-05-01,93436,0.01611754754238768
2021-06-01,11850,0.11724741262509536
