decile,1,2,3,4,5,6,7,8,9,10
1,0.005983872061004455,0.004279912914350743,0.003764173370247364,0.0034434828216325384,0.003206542076400778,0.0033151109949438795,0.0032190305831669014,0.0031096370551602233,0.0029977526402824688,0.003402010066021425
2,0.004279912914350743,0.003253389990569753,0.0028666810005857127,0.0026544357877823148,0.0024936911587081726,0.0025689427995416467,0.0024888929411456032,0.002422865083257852,0.0023210186227750605,0.0025909638318013014
3,0.003764173370247364,0.0028666810005857127,0.002565244997314018,0.0023816549428582997,0.002239887257214755,0.002308842166039677,0.0022336550412888345,0.0021759068833114965,0.0020911640653666413,0.0023385030723034102
4,0.0034434828216325384,0.0026544357877823148,0.0023816549428582997,0.0022787482651048614,0.0021389753337560484,0.0022214883049409156,0.002153104923680556,0.002113059939843541,0.0020410840497742345,0.0022746881904329086
5,0.003206542076400778,0.0024936911587081726,0.002239887257214755,0.0021389753337560484,0.0020429154276686754,0.0021222366903226493,0.002059863830779501,0.002022071378581797,0.0019589235910850216,0.002193077134189502
6,0.0033151109949438795,0.0025689427995416467,0.002308842166039677,0.0022214883049409156,0.0021222366903226493,0.0022414913214676524,0.0021724140376025354,0.0021439006873665116,0.0020897705463009454,0.0023480463307214206
7,0.0032190305831669014,0.0024888929411456032,0.0022336550412888345,0.002153104923680556,0.002059863830779501,0.0021724140376025354,0.002143293081768669,0.002105448486980546,0.002065862446918303,0.0023408342114392923
8,0.0031096370551602233,0.002422865083257852,0.0021759068833114965,0.002113059939843541,0.002022071378581797,0.0021439006873665116,0.002105448486980546,0.0021042480434068428,0.0020707759520508045,0.002361285787491959
9,0.0029977526402824688,0.0023210186227750605,0.0020911640653666413,0.0020410840497742345,0.0019589235910850216,0.0020897705463009454,0.002065862446918303,0.0020707759520508045,0.00209595063551315,0.0024259161032603297
10,0.003402010066021425,0.0025909638318013014,0.0023385030723034102,0.0022746881904329086,0.002193077134189502,0.0023480463307214206,0.0023408342114392923,0.002361285787491959,0.0024259161032603297,0.0030301256284710537
