month,profit,begin_value,strategy_return,cumulative_return,wealth
2021-01,105428.07198006348,10000000.0,0.010542807198006349,0.010542807198006265,10105428.071980063
2021-02,226079.21757338382,10105428.071980063,0.022372057468821878,0.033150728955344766,10331507.289553449
2021-03,56754.22527773118,10331507.289553447,0.00549331512693384,0.038826151483117854,10388261.514831178
2021-04,459119.3675192689,10388261.51483118,0.044195977051962966,0.08473808823504458,10847380.882350447
2021-05,234520.4720459994,10847380.882350447,0.021620008976321915,0.1081901354396444,11081901.354396444
2021-06,360701.93005411164,11081901.354396448,0.03254874037576709,0.14426032844505565,11442603.284450557
2021-07,658226.1528851332,11442603.284450559,0.05752416093806221,0.21008294373356895,12100829.437335689
2021-08,513389.6224437542,12100829.437335692,0.042425986177422735,0.26142190597794435,12614219.059779443
2021-09,-471195.68693325366,12614219.059779447,-0.037354328849073616,0.2143023372846189,12143023.372846188
2021-10,753605.9027199715,12143023.372846192,0.06206081299367,0.28966292755661605,12896629.27556616
2021-11,-87929.38302890467,12896629.275566164,-0.006818012765203298,0.28086998925372564,12808699.892537257
2021-12,556398.5277503084,12808699.892537259,0.043439110324888106,0.33650984202875645,13365098.420287564
2022-01,-1640883.0177200933,13365098.420287568,-0.12277373245746644,0.17242154025674705,11724215.40256747
2022-02,-14866.054701042594,11724215.402567474,-0.0012679786399853326,0.1709349347866429,11709349.347866429
2022-03,802482.0003587531,11709349.34786643,0.06853344080172773,0.2511831348225182,12511831.348225182
2022-04,-706029.6716346373,12511831.348225184,-0.05642896327361289,0.18058016765905438,11805801.676590543
2022-05,-51612.2138016168,11805801.676590547,-0.004371766968096498,0.17541894627889265,11754189.462788926
2022-06,-641811.5196385265,11754189.46278893,-0.054602788364978685,0.11123779431504,11112377.9431504
2022-07,304754.2779821858,11112377.943150405,0.02742475818778593,0.14171322211325865,11417132.221132586
2022-08,-129272.64057373488,11417132.22113259,-0.0113226892769497,0.12878595805588522,11287859.580558851
2022-09,-568133.5649405301,11287859.580558855,-0.05033138132928494,0.07197260156183227,10719726.015618322
2022-10,1085824.8758179932,10719726.015618324,0.10129222278964764,0.1805550891436314,11805550.891436314
2022-11,512746.916832221,11805550.891436318,0.043432697173341125,0.23182978082685346,12318297.808268534
2022-12,-476236.3099728613,12318297.80826854,-0.038660886218645586,0.1842061498295673,11842061.498295672
2023-01,9654.189750151476,11842061.498295678,0.0008152457029159085,0.1851715688045823,11851715.688045822
2023-02,-195903.42841394618,11851715.68804583,-0.016529541677374453,0.1655812259631877,11655812.259631878
2023-03,239452.14571550046,11655812.259631883,0.02054358292513051,0.18952644053473788,11895264.405347379
2023-04,311788.01052512834,11895264.405347385,0.026211103839353708,0.2207052415872508,12207052.415872509
2023-05,-455803.1982434159,12207052.415872512,-0.03733933325712167,0.17512492176290917,11751249.217629092
2023-06,917310.1812584747,11751249.217629096,0.07806065246938479,0.26685593988875667,12668559.398887567
2023-07,81420.90576650924,12668559.398887571,0.006427005881478428,0.2749980304654076,12749980.304654077
2023-08,-20463.107900987845,12749980.30465408,-0.0016049521185156866,0.27295171967530885,12729517.196753088
2023-09,-637069.4399683811,12729517.196753092,-0.050046630215549566,0.20924477567847077,12092447.756784707
2023-10,-429438.1771065637,12092447.756784711,-0.0355129239128297,0.16630095796781452,11663009.579678144
2023-11,1043879.2718319292,11663009.579678148,0.0895034223114079,0.2706888851510074,12706888.851510074
2023-12,270603.80691767577,12706888.851510078,0.021295834887665472,0.29774926584277495,12977492.658427749
2024-01,498448.2725215086,12977492.658427753,0.03840867304962872,0.3475940930949257,13475940.930949258
2024-02,1003592.3870814329,13475940.930949261,0.07447289894070043,0.44795333180306907,14479533.31803069
2024-03,808784.9041215391,14479533.318030694,0.05585711130029285,0.5288318222152228,15288318.222152228
2024-04,-369080.12773861736,15288318.222152233,-0.02414131642052252,0.49192380944136116,14919238.094413612
2024-05,681214.9787970674,14919238.094413616,0.045660172086947434,0.5600453073210678,15600453.073210679
2024-06,-366472.2634249041,15600453.073210683,-0.023491129501502454,0.5233980809785774,15233980.809785774
2024-07,-4018.503087507095,15233980.80978578,-0.0002637854896683176,0.5229962306698268,15229962.306698268
2024-08,1130966.0660992633,15229962.306698272,0.07425928202080016,0.636092837279753,16360928.37279753
2024-09,563677.4392710002,16360928.372797536,0.03445265613461137,0.6924605812068532,16924605.812068533
2024-10,-101390.98674992612,16924605.812068537,-0.005990744356221673,0.6823214825318604,16823214.825318605
2024-11,1497252.830109823,16823214.82531861,0.08899921005921453,0.8320467655428427,18320467.65542843
2024-12,-1012846.0901476871,18320467.655428432,-0.055284947371284844,0.730762156528074,17307621.56528074
2025-01,1083167.3319326136,17307621.565280747,0.06258325719955984,0.8390788897213355,18390788.897213355
2025-02,608934.749774782,18390788.89721336,0.03311085528620526,0.8999723646988136,18999723.646988135
2025-03,-548513.6748958174,18999723.646988142,-0.028869560688729725,0.845120997209232,18451209.97209232
2025-04,-207570.94959581736,18451209.972092323,-0.011249720203161251,0.8243639022496501,18243639.0224965
2025-05,540835.2626733258,18243639.022496507,0.02964514163026432,0.8784474285169825,18784474.285169825
2025-06,509523.1605323022,18784474.285169832,0.027124696320863555,0.9293997445702127,19293997.445702128
2025-07,-613875.4481913215,19293997.445702136,-0.03181691352032734,0.8680121997510806,18680121.997510806
2025-08,330762.3384482926,18680121.997510813,0.01770664765960135,0.9010884335959097,19010884.335959096
